,Unnamed: 0,BusStopCode,Description,Latitude,Longitude,RoadName,planning_area
2548,2548,48119,Bef Mandai Rd,1.40961851672775,103.77929091400648,Mandai Lake Rd,CENTRAL WATER CATCHMENT
2549,2549,48131,S'Pore Zoo,1.40462388269986,103.78935694475769,Mandai Lake Rd,CENTRAL WATER CATCHMENT
2550,2550,48141,Opp Mandai Crematorium & Columbarium,1.41557085636805,103.8094962642582,Mandai Ave,MANDAI
2551,2551,48149,Mandai Crematorium & Columbarium,1.41521080481899,103.80907903666171,Mandai Ave,YISHUN
2552,2552,49011,Opp Kim Hock Corp Pte Ltd,1.41051803168987,103.75228251770572,Sg Kadut St 1,SUNGEI KADUT
2553,2553,49019,Kim Hock Corp Pte Ltd,1.4105430550966298,103.75244718246051,Sg Kadut St 1,SUNGEI KADUT
2554,2554,49021,WHYE WAH DEVT & CONSTRN,1.41337474993907,103.75177016684296,Sg Kadut St 1,SUNGEI KADUT
2555,2555,49029,SIT LEY TIMBER,1.41359128228018,103.75189550271324,Sg Kadut St 1,SUNGEI KADUT
2556,2556,49031,Opp Crown Alliance Industries,1.4163160467177298,103.75124374338002,Sg Kadut St 1,SUNGEI KADUT
2557,2557,49039,Asia Rattan Trading Co,1.41665386559511,103.75136638264013,Sg Kadut St 1,SUNGEI KADUT
2558,2558,49041,DHdeco Pte Ltd,1.41926629646719,103.75071744712069,Sg Kadut St 1,SUNGEI KADUT
2559,2559,49049,Sim Hup Co,1.420040467845,103.75074630835056,Sg Kadut St 1,SUNGEI KADUT
2560,2560,49051,Aft Sg Kadut Eating Hse,1.42276696289419,103.75010170518757,Sg Kadut St 1,SUNGEI KADUT
2561,2561,49059,Aft LCS Optiroc Pte Ltd,1.4231819921010402,103.7501925325452,Sg Kadut St 1,SUNGEI KADUT
2562,2562,49061,Poh Cheong Concrete Products,1.4261260435369298,103.74894489726995,Sg Kadut St 1,SUNGEI KADUT
2563,2563,49069,Tropical Furniture Ltd,1.4264399252605,103.74887339054355,Sg Kadut St 1,SUNGEI KADUT
2564,2564,49071,Opp Wason Wood Ind,1.4292093691445402,103.74707415989546,Sg Kadut Dr,SUNGEI KADUT
2565,2565,49079,Wason Wood Ind,1.4293684026762599,103.74721764191128,Sg Kadut Dr,SUNGEI KADUT
2566,2566,49081,Aft Kranji Cres,1.43392569720193,103.74846964367356,Sg Kadut Dr,SUNGEI KADUT
2567,2567,49089,Bef Kranji Cres,1.43387888896839,103.74860194398363,Sg Kadut Dr,SUNGEI KADUT
2568,2568,49091,Opp Kranji Wtr Reclam Plt,1.42753888899762,103.75641027798768,Kranji Rd,SUNGEI KADUT
2569,2569,49099,AFT KRANJI WATER RECLAMATION PLANT,1.42763,103.7566,Kranji Rd,SUNGEI KADUT
2570,2570,49101,Opp Ordinance Supply Base,1.4301926513916698,103.75584633886156,Kranji Rd,SUNGEI KADUT
2571,2571,49109,Kranji Wtr Reclam Plt,1.4288515447180399,103.75622617449282,Kranji Rd,SUNGEI KADUT
2572,2572,49111,Aft Jln Lam Huat,1.43245972200669,103.75543333298813,Kranji Rd,SUNGEI KADUT
2573,2573,49119,Blk 2,1.43218727065725,103.75568435534464,Kranji Rd,SUNGEI KADUT
2574,2574,49121,Aft SMRT Buses Kranji Depot,1.43528737784327,103.75494271333444,Kranji Rd,SUNGEI KADUT
2575,2575,49129,Lip Guan Ind,1.4348751185410202,103.75521112659418,Kranji Rd,SUNGEI KADUT
2576,2576,49131,Tan Chiang Bros Marble,1.4081218190728302,103.75361193086512,Sg Kadut Ave,SUNGEI KADUT
2577,2577,49139,Bef Sg Kadut Way,1.40797195308481,103.7535208650928,Sg Kadut Ave,SUNGEI KADUT
2578,2578,49141,Ctrl Granite Ind,1.4383065782823998,103.74365393048626,Kranji Way,SUNGEI KADUT
2579,2579,49149,Bef Fishing Ground A,1.4384191025473503,103.74316251360835,Kranji Way,SUNGEI KADUT
2580,2580,49151,Daiya Engrg,1.43666749998525,103.74684027798632,Kranji Way,SUNGEI KADUT
2581,2581,49159,Econ Group,1.43707187354398,103.74581261172024,Kranji Way,SUNGEI KADUT
2582,2582,49169,Tong Seng Concrete Ltd,1.4356326647634,103.74855065686644,Kranji Way,SUNGEI KADUT
2583,2583,49171,OPP SHINGDA CONSTRN,1.43471927034855,103.75086631663142,Kranji Way,SUNGEI KADUT
2584,2584,49179,Aft Kranji Cres,1.4346796758553702,103.75053324827904,Kranji Way,SUNGEI KADUT
2585,2585,49181,Dapolite Ind,1.43689816677634,103.75406639623812,Kranji Loop,SUNGEI KADUT
2586,2586,49189,Aft Kranji Rd,1.43646977071566,103.75373454312799,Kranji Loop,SUNGEI KADUT
2587,2587,49199,Kranji Reservoir Pk B,1.4383674275062999,103.73578447263064,Kranji Way,LIM CHU KANG
