,BusStopCode,Description,Latitude,Longitude,RoadName
1794,41101,St. Margaret's Sec Sch,1.31908138967253,103.80921733406133,Farrer Rd
1795,41109,Opp St. Margaret's Sec Sch,1.31944666701923,103.81052861101583,Farrer Rd
1796,41111,Lutheran Twrs,1.32081170217365,103.81185140010722,Farrer Rd
1797,41119,Opp Lutheran Twrs,1.32074221277671,103.81245374678939,Farrer Rd
1798,41121,S'Pore Bible Coll,1.32554444399609,103.81350777801268,Adam Rd
1799,41129,Opp S'Pore Bible Coll,1.32542946413096,103.81399869920736,Adam Rd
1800,41131,Opp The Japanese Assn,1.32973612368298,103.8145129140827,Adam Rd
1801,41139,Aft The Japanese Assn,1.32962999996746,103.81485527800427,Adam Rd
1802,41141,Aft Adam Dr,1.33489306619804,103.81796101152241,Adam Rd
1803,41151,Aft Sime Rd,1.33799972901638,103.81931795640678,Lornie Rd
1804,41159,Aft Lornie Wk,1.33870170002583,103.81989450001056,Lornie Rd
1805,41161,AFT KHEAM HOCK RD,1.335063889,103.8187389,Lornie Highway
1806,41169,Bef Kheam Hock Rd,1.33507722199373,103.82011297432192,Lornie Highway
1807,42011,Sixth Ave Ctr,1.33161452117352,103.79503057628676,Bt Timah Rd
1808,42019,Opp Sixth Ave Stn,1.33170368135595,103.79657033601987,Dunearn Rd
1809,42021,Aft Maple Ave,1.33254537683925,103.79237058676013,Bt Timah Rd
1810,42029,Aft Swiss Club Rd,1.33325151466609,103.79206171859214,Dunearn Rd
1811,42031,The Tessarina,1.33332611108217,103.78997500000864,Bt Timah Rd
1812,42039,Opp The Nexus,1.33474752657285,103.7877986922408,Dunearn Rd
1813,42041,The Nexus,1.33442500001261,103.78689111113574,Bt Timah Rd
1814,42049,Hua Guan Gdns,1.33580349277905,103.7846322701164,Dunearn Rd
1815,42051,King Albert Pk Stn,1.33598305556873,103.78263611110306,Bt Timah Rd
1816,42059,Opp King Albert Pk Stn,1.33679896138996,103.78180146215335,Dunearn Rd
1817,42061,King Albert Pk,1.33687567142278,103.78038743713434,Bt Timah Rd
1818,42071,Pei Hwa Presby Pr Sch,1.33876225175982,103.77694915592028,Upp Bt Timah Rd
1819,42089,Opp Bt Timah Plaza,1.34007090936874,103.77941451542826,Jln Anak Bt
1820,42091,Beauty World Stn Exit B,1.34278636864291,103.77539033846315,Upp Bt Timah Rd
1821,42099,Beauty World Stn Exit A,1.34160317659437,103.77579384383286,Upp Bt Timah Rd
1822,42109,Opp Beauty World Ctr,1.343246111,103.7769164,Jln Anak Bt
1823,42111,WOH HUP BLDG,1.34584805601375,103.77262861101015,Upp Bt Timah Rd
1824,42119,Southaven II,1.34582513057916,103.77330275765884,Upp Bt Timah Rd
1825,42129,Sixth Ave Ville,1.33016133420747,103.79515526101162,Sixth Ave
1826,42131,Aft Lantana Ave,1.32858335781449,103.79421797943384,Sixth Ave
1827,42139,Ave Villa,1.32877805376848,103.7944440268283,Sixth Ave
1828,42141,Bef Dunearn Rd,1.33608648972914,103.77817465012919,Clementi Rd
1829,42149,Aft Bt Timah Rd,1.33607426889198,103.77862313710679,Clementi Rd
1830,42151,Beauty World Stn Exit C,1.34009254981171,103.77531978477353,Jln Jurong Kechil
1831,42159,Opp Beauty World Stn,1.34036805329812,103.77530898996658,Jln Jurong Kechil
1832,42161,Blk 18,1.34027669212035,103.77264625507586,Jln Jurong Kechil
1833,42169,Opp Blk 19,1.34038575681297,103.77366130505683,Jln Jurong Kechil
1834,42171,Signature Pk Condo,1.34261833302181,103.77026361103131,Jln Jurong Kechil
1835,42179,Aft Chun Tin Rd,1.34197833300345,103.77100805601951,Jln Jurong Kechil
1836,42181,Opp The Hillford,1.3436280559857,103.76943333300858,Jln Jurong Kechil
1837,42189,The Hillford,1.34378853697493,103.76960174742553,Jln Jurong Kechil
1838,42191,Bef Bt Batok East Ave 6,1.34642944402637,103.76696388898718,Jln Jurong Kechil
1839,42199,Aft Bt Batok East Ave 6,1.34607666698124,103.76760722200575,Jln Jurong Kechil
1840,42201,Bef Toh Tuck Rise,1.33939353535638,103.76383096590918,Toh Tuck Rd
1841,42209,Aft Toh Tuck Rise,1.33914661405948,103.76363595867413,Toh Tuck Rd
1842,42211,Highgate Pk,1.33974260070464,103.76559520495253,Toh Tuck Rd
1843,42219,Opp Highgate Pk,1.3395991670039,103.76535388898161,Toh Tuck Rd
1844,42221,Goodluck Gdn,1.33957381292395,103.7679072102881,Toh Tuck Rd
1845,42229,Aft Toh Tuck Terr,1.33943222197209,103.76827388898352,Toh Tuck Rd
1846,42231,Bef Jln Jurong Kechil,1.34056805598593,103.7706058329681,Toh Tuck Rd
1847,42239,Aft Jln Jurong Kechil,1.34027047980738,103.77016055707928,Toh Tuck Rd
1848,42241,Aft Eng Kong Pl,1.33711750136148,103.76708487597254,Lor Kismis
1849,42249,Bef Eng Kong Pl,1.33696603683043,103.76697148211271,Lor Kismis
1850,42259,Goh & Goh Bldg,1.34106160633217,103.7770788000345,Jln Jurong Kechil
1851,42291,Opp Toh Tuck Cres,1.33769605916429,103.76430234507968,Toh Tuck Rise
1852,42299,Aft Toh Tuck Cres,1.3373703046187,103.76447557607713,Toh Tuck Rise
1853,42301,Opp Hse No. 19,1.33874676722579,103.76866950533451,Toh Tuck Terr
1854,42309,Hse No. 45,1.3380616700805,103.76890878569641,Toh Tuck Terr
1855,42311,Opp Burgundy Hill,1.33865749997067,103.76028055601957,Bt Batok East Ave 3
1856,42319,Burgundy Hill,1.33915373900693,103.76043841269879,Bt Batok East Ave 3
1857,42991,BEF HILLVIEW STN EXIT B,1.36164,103.766952,Upp Bt Timah Rd
1858,43009,Bt Batok Int,1.34999354306126,103.75106190953444,Bt Batok Ctrl
1859,43011,Bt Regency,1.34742333297015,103.77118138899144,Upp Bt Timah Rd
1860,43019,Springdale Condo,1.348201944,103.7710775,Upp Bt Timah Rd
1861,43021,Aft Old Jurong Rd,1.35132007773328,103.76979529427526,Upp Bt Timah Rd
1862,43029,Opp The Hillside,1.35218580086883,103.77000849173528,Upp Bt Timah Rd
1863,43041,Hume Pk Condo,1.35582940983395,103.76845331635313,Upp Bt Timah Rd
1864,43049,Opp Hume Pk Condo,1.3556996199834,103.76885141403912,Upp Bt Timah Rd
1865,43051,Opp The Rail Mall,1.35910148170791,103.76705036241354,Upp Bt Timah Rd
1866,43059,The Rail Mall,1.359408611,103.7674364,Upp Bt Timah Rd
1867,43061,Hillview Stn,1.36301133873589,103.76739148459211,Upp Bt Timah Rd
1868,43069,HILLVIEW STN EXIT A,1.36296778241046,103.76768583722071,Upp Bt Timah Rd
1869,43071,Opp Dairy Farm Rd,1.36511351504744,103.76698012950051,Upp Bt Timah Rd
1870,43081,Opp Assumption Eng Sch,1.36704277799302,103.76572777796798,Upp Bt Timah Rd
1871,43089,Aft Assumption Eng Sch,1.36705664197789,103.76608527288596,Upp Bt Timah Rd
